,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
301,399001.SZ,20190911,9853.7236,9985.1142,10000.2518,9835.9727,9964.9263,-111.2027,-1.1159,349035650.0,379390601.5
302,399001.SZ,20190910,9964.9263,10005.8062,10005.8062,9903.4193,10001.9308,-37.0045,-0.37,381885526.0,420976755.1
303,399001.SZ,20190909,10001.9308,9907.1313,10001.9308,9853.6877,9823.4188,178.512,1.8172,387165177.0,429809249.7
304,399001.SZ,20190906,9823.4188,9829.9668,9837.2296,9742.2745,9783.504,39.9148,0.408,331457385.0,375673634.7
305,399001.SZ,20190905,9783.504,9752.3433,9900.7599,9751.9532,9700.3192,83.1848,0.8575,430745654.0,457300482.6
306,399001.SZ,20190904,9700.3192,9612.6247,9700.3192,9590.9778,9633.6857,66.6335,0.6917,330543241.0,354614649.7
307,399001.SZ,20190903,9633.6857,9591.4245,9633.6857,9547.7648,9569.4699,64.2158,0.671,310115994.0,339338171.8
308,399001.SZ,20190902,9569.4699,9393.0263,9586.5214,9389.4808,9365.6764,203.7935,2.176,301362492.0,327223339.8
309,399001.SZ,20190830,9365.6764,9458.3867,9492.0415,9310.1123,9398.4702,-32.7938,-0.3489,312542620.0,329958407.1
310,399001.SZ,20190829,9398.4702,9428.9975,9440.6654,9363.1543,9414.0022,-15.532,-0.165,272537265.0,281822722.4
311,399001.SZ,20190828,9414.0022,9449.3996,9453.7552,9375.5676,9443.1762,-29.174,-0.3089,285827444.0,291830724.0
312,399001.SZ,20190827,9443.1762,9333.1048,9517.6538,9333.1048,9270.3891,172.7871,1.8639,311957622.0,327274773.2
313,399001.SZ,20190826,9270.3891,9181.7104,9298.1028,9173.0144,9362.5488,-92.1597,-0.9843,257433068.0,270062312.8
314,399001.SZ,20190823,9362.5488,9356.9991,9397.7585,9311.2584,9350.557,11.9918,0.1282,262062843.0,277017191.1
315,399001.SZ,20190822,9350.557,9350.6456,9363.7931,9282.7605,9322.754,27.803,0.2982,257246169.0,270500074.2
316,399001.SZ,20190821,9322.754,9304.5237,9361.7412,9287.3113,9328.7292,-5.9752,-0.0641,249206921.0,271263755.3
317,399001.SZ,20190820,9328.7292,9340.6639,9389.3931,9301.9192,9328.9716,-0.2424,-0.0026,293736361.0,313938181.5
318,399001.SZ,20190819,9328.9716,9165.8011,9328.9716,9141.8916,9060.9173,268.0543,2.9584,303617839.0,334507175.6
319,399001.SZ,20190816,9060.9173,9007.1491,9136.2147,8995.5675,9009.6788,51.2385,0.5687,220697415.0,244112625.3
320,399001.SZ,20190815,9009.6788,8779.5338,9011.7733,8758.0448,8966.4691,43.2097,0.4819,212807484.0,220269510.3
321,399001.SZ,20190814,8966.4691,9034.0501,9060.3985,8956.0768,8902.6322,63.8369,0.7171,207501725.0,228412237.9
322,399001.SZ,20190813,8902.6322,8910.1464,8960.0202,8869.4559,8978.5219,-75.8897,-0.8452,170587307.0,185691556.8
323,399001.SZ,20190812,8978.5219,8816.8869,8978.5219,8798.4951,8795.1808,183.3411,2.0846,183867356.0,200207115.0
324,399001.SZ,20190809,8795.1808,8963.4729,8970.5151,8780.7168,8919.2764,-124.0956,-1.3913,195121488.0,209545421.2
325,399001.SZ,20190808,8919.2764,8870.1816,8936.4849,8859.4775,8814.744,104.5324,1.1859,176794343.0,189027177.4
